Gene2,Gene1,Type
T4,T4,+
T3,T3,+
g13,T3,+
g13,T4,+
g13,T7,+
g35,T1,+
g35,T3,+
g35,T5,+
g35,T7,+
g35,T8,+
g35,T11,+
g35,T15,+
g30,T2,+
g30,T5,+
g30,T10,+
g30,T11,+
g51,T5,+
g51,T9,+
g23,T11,+
g2,T1,+
g20,T3,+
g20,T11,+
g20,T12,+
g20,T13,+
g4,T2,+
g4,T3,+
g4,T6,+
g4,T8,+
g4,T12,+
g4,T13,+
g4,T14,+
g12,T2,+
g12,T7,+
g12,T9,+
g12,T12,+
g46,T1,+
g46,T2,+
g46,T5,+
g46,T7,+
g46,T8,+
g46,T11,+
g46,T14,+
T11,T11,+
g52,T6,+
g52,T7,+
g52,T11,+
g52,T15,+
g28,T10,+
g28,T11,+
g28,T12,+
g28,T13,+
T6,T6,+
g48,T9,+
g48,T13,+
g33,T3,+
g33,T8,+
g33,T10,+
g33,T11,+
g33,T12,+
g11,g11,+
T7,T7,+
g41,T1,+
g41,T2,+
g41,T9,+
g41,T12,+
g41,T13,+
g41,T15,+
g31,T8,+
g31,T14,+
g31,T15,+
T15,T15,+
g63,T3,+
g63,T7,+
g63,T11,+
g63,T14,+
g63,T15,+
g18,T8,+
g18,T13,+
g21,T1,+
g21,T5,+
g21,T9,+
g21,T12,+
g21,T14,+
g21,T15,+
g43,T10,+
g43,T11,+
g43,T14,+
g25,T2,+
g25,T6,+
g25,T13,+
g25,T14,+
g59,T6,+
g59,T8,+
g59,T12,+
g59,T13,+
g59,T14,+
g59,T15,+
g15,T3,+
T10,T10,+
g60,T2,+
g60,T13,+
g19,T1,+
g19,T9,+
g19,T11,+
g19,T12,+
g19,T15,+
g27,T1,+
g27,T2,+
g27,T12,+
g27,T13,+
g27,T15,+
g26,T4,+
g26,T7,+
g26,T10,+
T5,T5,+
g16,T6,+
g16,T8,+
g16,T9,+
g16,T11,+
g16,T15,+
g29,T9,+
g29,T11,+
g8,T1,+
g8,T6,+
g8,T9,+
g8,T10,+
g8,T11,+
g8,T14,+
g1,T6,+
g1,T7,+
g1,T15,+
g38,T2,+
g38,T3,+
g38,T4,+
g38,T5,+
g38,T12,+
T12,T12,+
g45,T3,+
g45,T8,+
g14,T9,+
g22,T14,+
g65,T1,+
g65,T3,+
g65,T6,+
g65,T8,+
g65,T10,+
g65,T12,+
T2,T2,+
g42,T11,+
g47,T2,+
g47,T5,+
g47,T7,+
g47,T11,+
T8,T8,+
g3,T1,+
g3,T6,+
g3,T7,+
g3,T8,+
g3,T10,+
g3,T15,+
g62,T2,+
g55,T6,+
g55,T11,+
g55,T12,+
g55,T13,+
g55,T15,+
g17,T12,+
T1,T1,+
g49,T12,+
g10,T3,+
g10,T4,+
g10,T5,+
g50,g50,+
g32,T3,+
g32,T9,+
g32,T11,+
g24,T2,+
g24,T3,+
g24,T6,+
g24,T11,+
g24,T12,+
g24,T14,+
g24,T15,+
g53,T3,+
g53,T5,+
g53,T6,+
g53,T11,+
g53,T13,+
g53,T15,+
g64,T3,+
g64,T8,+
g64,T12,+
g64,T13,+
g64,T14,+
g64,T15,+
g9,T2,+
g9,T5,+
g9,T8,+
g39,T4,+
g39,T9,+
T9,T9,+
g34,T1,+
g34,T2,+
g34,T3,+
g34,T5,+
g34,T15,+
T13,T13,+
g36,T1,+
g36,T3,+
g36,T4,+
g36,T5,+
g36,T14,+
g58,T9,+
g58,T11,+
g44,T12,+
g54,T6,+
g54,T7,+
g54,T12,+
g5,T6,+
g5,T12,+
g5,T15,+
g61,T13,+
g56,T2,+
g56,T3,+
g56,T4,+
g56,T6,+
g56,T10,+
g56,T11,+
g56,T13,+
g7,T3,+
g7,T4,+
g7,T8,+
g7,T11,+
g7,T13,+
g7,T14,+
g37,T8,+
g40,T3,+
g40,T9,+
T14,T14,+
g57,T4,+
g57,T6,+
g57,T8,+
g57,T10,+
g57,T12,+
g6,T3,+
g6,T6,+
g6,T8,+
g6,T9,+
g6,T10,+
g6,T11,+
